recipe_key,filename,title_cs,title_en,alt_cs,alt_en,required_width,required_height,country_iso,status,notes
arroz-de-marisco,arroz-de-marisco.jpg,"Arroz de marisco","Arroz de Marisco (Portuguese Seafood Rice)","Arroz de marisco","Arroz de Marisco (Portuguese Seafood Rice)",1600,900,PT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
bacalhau-a-bras,bacalhau-a-bras.jpg,"Bacalhau à Brás","Bacalhau à Brás (Portuguese Shredded Salt Cod)","Bacalhau à Brás","Bacalhau à Brás (Portuguese Shredded Salt Cod)",1600,900,PT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
banitsa,banitsa.jpg,Banica,"Banitsa (Bulgarian Cheese Pastry)",Banica,"Banitsa (Bulgarian Cheese Pastry)",1600,900,BG,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
beef-wellington,beef-wellington.jpg,"Hovězí Wellington","Beef Wellington","Hovězí Wellington","Beef Wellington",1600,900,GB,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
bigos,bigos.jpg,Bigos,"Bigos (Polish Hunter's Stew)",Bigos,"Bigos (Polish Hunter's Stew)",1600,900,PL,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
boeuf-bourguignon,boeuf-bourguignon.jpg,"Hovězí po burgundsku","Beef Bourguignon (Bœuf Bourguignon)","Hovězí po burgundsku","Beef Bourguignon (Bœuf Bourguignon)",1600,900,FR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
boxty,boxty.jpg,Boxty,"Boxty (Irish Potato Pancakes)",Boxty,"Boxty (Irish Potato Pancakes)",1600,900,IE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
bramboraky,bramboraky.jpg,Bramboráky,"Bramboráky (Czech Potato Pancakes)",Bramboráky,"Bramboráky (Czech Potato Pancakes)",1600,900,CZ,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
bryndzove-halusky,bryndzove-halusky.jpg,"Bryndzové halušky","Bryndzové Halušky (Slovak Potato Dumplings with Sheep's Cheese)","Bryndzové halušky","Bryndzové Halušky (Slovak Potato Dumplings with Sheep's Cheese)",1600,900,SK,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
buchty,buchty.jpg,"České buchty","Czech Sweet Buns (Buchty)","České buchty","Czech Sweet Buns (Buchty)",1600,900,CZ,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
